simulado_id,ano,data_simulado,materia,professor_id,professor_nome_informado,dificuldade,tipo_simulado,total_questoes,tempo_limite_min,tema
S20210001,2021,2021-09-22,Matemática,P002,Lucas Gomes Melo,Fácil,Revisão,60,300,
S20210002,2021,2021-05-03,Matemática,P003,Victor Rodrigues Melo,Difícil,ENEM,45,300,Conteúdo acumulado
S20210003,2021,2021-10-23,Matemática,P004,Diego Rocha Lima,Fácil,Por matéria,90,300,
S20210004,2021,2021-06-15,Física,P006,Luísa Moreira Barbosa,Difícil,Revisão,90,120,Competências gerais
S20210005,2021,2021/04/02,Física,P006,Luísa Moreira Barbosa,Fácil,Por matéria,60,300,Treino de velocidade
S20210006,2021,2021-11-23,Física,P005,Gabriela Pereira Cardoso,Média,Revisão,30,180,Treino de velocidade
S20210007,2021,2021-09-19,Química,P009,Caio Teixeira Araújo,Fácil,ENEM,60,300,Conteúdo acumulado
S20210008,2021,2021-11-21,Química,P009,Caio Teixeira Araújo,Média,Por matéria,30,300,Treino de velocidade
S20210009,2021,2021-04-09,Química,P009,Caio Teixeira Araújo,Média,Vestibular estadual,20,180,Competências gerais
S20210010,2021,2021-11-04,Biologia,P010,Olívia Moura Souza,Média,Vestibular estadual,30,90,Treino de velocidade
S20210011,2021,2021-10-02,Biologia,P010,Olívia Moura Souza,Média,Revisão,30,120,Treino de velocidade
S20210012,2021,2021-05-13,Biologia,P012,Sofia Carvalho Ribeiro,Média,ENEM,60,300,Revisão bimestral
S20210013,2021,06-07-2021,História,P015,Beatriz Souza Rocha,Difícil,Vestibular estadual,45,300,Treino de velocidade
S20210014,2021,2021-10-26,História,P014,João Lima Araújo,média,Por matéria,90,60,
S20210015,2021,2021-09-07,História,P014,João Lima Araújo,,Por matéria,20,90,Treino de velocidade
S20210016,2021,01/05/2021,Geografia,P018,Gustavo Santos Gomes,Fácil,ENEM,45,120,Interdisciplinar
S20210017,2021,2021-04-15,Geografia,P018,Gustavo Santos Gomes,Difícil,ENEM,90,120,
S20210018,2021,2021-10-24,Geografia,P016,Heitor Teixeira Silva,Média,Vestibular estadual,60,90,
S20210019,2021,2021-09-12,Português,P019,Helena Almeida Araújo,Média,Revisão,30,60,Treino de velocidade
S20210020,2021,2021-10-02,Português,P020,Maria Teixeira Oliveira,Média,ENEM,90,120,Revisão bimestral
S20210021,2021,2021-10-24,Português,P020,Maria Teixeira Oliveira,Dificil,ENEM,30,60,Conteúdo acumulado
S20210022,2021,2021-04-22,Redação,P023,Valentina Cavalcanti Cavalcanti,Média,Revisão,1,90,Revisão bimestral
S20210023,2021,2021-06-15,Redação,P023,Valentina Cavalcanti Cavalcanti,Média,ENEM,1,90,Conteúdo acumulado
S20210024,2021,2021-11-09,Redação,P022,Luísa Moreira Cardoso,Difícil,ENEM,1,60,Interdisciplinar
S20210025,2021,2021-09-05,Inglês,P026,Sofia Ribeiro Rodrigues,Difícil,ENEM,60,90,
S20210026,2021,09-10-2021,Inglês,P024,LUÍSA SANTOS OLIVEIRA,Fácil,Por matéria,30,90,Conteúdo acumulado
S20210027,2021,2021-05-08,Inglês,P026,Sofia Ribeiro Rodrigues,Difícil,Por matéria,20,60,
S20210028,2021,2021-07-27,FILOSOFIA,P030,Mariana Teixeira Carvalho,Fácil,Vestibular estadual,60,300,Revisão bimestral
S20210029,2021,2021-11-08,Filosofia,P030,Mariana Teixeira Carvalho,Média,Por matéria,20,300,Revisão bimestral
S20210030,2021,2021-04-28,Filosofia,P030,Mariana Teixeira Carvalho,Média,Por matéria,30,90,Interdisciplinar
S20210031,2021,2021/05/17,Sociologia,P032,Diego Lima Nascimento,Fácil,Vestibular estadual,30,90,Conteúdo acumulado
S20210032,2021,2021-05-11,Sociologia,P034,Victor Melo Araújo,Difícil,Vestibular estadual,30,90,
S20210033,2021,2021-11-17,Sociologia,P034,Victor Melo Araújo,Média,ENEM,45,120,Conteúdo acumulado
S20220034,2022,23/06/2022,Matemática,P002,Lucas Gomes Melo,Média,ENEM,20,90,Interdisciplinar
S20220035,2022,2022-07-21,Matemática,P001,Rafaela Moura Costa,Dificil,ENEM,45,60,Treino de velocidade
S20220036,2022,2022-10-27,Mat.,P004,Diego Rocha Lima,Média,Vestibular estadual,30,60,Revisão bimestral
S20220037,2022,2022-07-23,Física,P007,Karina Moreira Ferreira,Fácil,Vestibular estadual,60,120,Competências gerais
S20220038,2022,2022-06-05,Física,P007,Karina Moreira Ferreira,Média,Revisão,30,60,Treino de velocidade
S20220039,2022,2022-09-12,Física,P005,Gabriela Pereira Cardoso,Difícil,Vestibular estadual,45,90,Competências gerais
S20220040,2022,2022-08-23,Química,P009,Caio Teixeira Araújo,Fácil,Revisão,30,300,Revisão bimestral
S20220041,2022,2022-11-06,Química,P008,GABRIELA LIMA PEREIRA,Difícil,Revisão,30,120,Interdisciplinar
S20220042,2022,2022-09-20,Química,P008,GABRIELA LIMA PEREIRA,Média,Vestibular estadual,60,300,
S20220043,2022,2022-06-10,Biologia,P012,Sofia Carvalho Ribeiro,Difícil,Revisão,30,300,Revisão bimestral
S20220044,2022,2022-11-18,Biologia,P013,Pedro Pereira Moura,Difícil,Revisão,90,300,Interdisciplinar
S20220045,2022,2022-09-06,Biologia,P011,Alice Martins Rodrigues,Difícil,Por matéria,90,120,Revisão bimestral
S20220046,2022,2022-09-28,História,P015,Beatriz Souza Rocha,Média,Vestibular estadual,90,180,Treino de velocidade
S20220047,2022,2022-10-09,História,P015,Beatriz Souza Rocha,Difícil,Revisão,20,300,
S20220048,2022,09-01-2022,História,P014,João Lima Araújo,média,Vestibular estadual,90,300,Treino de velocidade
S20220049,2022,2022-07-11,Geografia,P017,Tatiane Costa Barbosa,Fácil,ENEM,45,60,Conteúdo acumulado
S20220050,2022,2022-06-25,Geografia,P017,Tatiane Costa Barbosa,Média,Revisão,30,60,
S20220051,2022,2022-08-10,Geografia,P016,Heitor Teixeira Silva,Difícil,Revisão,45,120,Competências gerais
